epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,3672.71,0.55251,0.36873,1.09431,0.01488,0.94376,0.9186,0.95126,0.85706,0.41945,0.29679,1.04133,0.00789,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,3718.37,0.55072,0.36699,1.09062,0.01463,0.94788,0.91348,0.9512,0.85747,0.42101,0.2995,1.04641,0.00768,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,3763.94,0.54579,0.36403,1.08549,0.0142,0.95202,0.90911,0.95111,0.85743,0.42077,0.29912,1.04539,0.00765,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,3809.57,0.54844,0.36466,1.08919,0.01439,0.94842,0.91435,0.95093,0.8574,0.4201,0.29827,1.04529,0.0076,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,3854.79,0.54612,0.36493,1.08532,0.01448,0.94568,0.9156,0.95052,0.85675,0.41949,0.29919,1.04074,0.0075,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,3900.06,0.54449,0.36211,1.08565,0.01432,0.94828,0.91634,0.95052,0.85672,0.42001,0.29731,1.04121,0.00768,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,3945.31,0.54491,0.36287,1.08388,0.01434,0.94696,0.91664,0.95027,0.85534,0.41968,0.29583,1.04001,0.00752,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,3990.57,0.54155,0.35927,1.08229,0.01417,0.94915,0.91452,0.95082,0.85655,0.41977,0.29591,1.04096,0.00781,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,4035.82,0.54173,0.3599,1.08334,0.01429,0.9495,0.91107,0.95101,0.85659,0.42031,0.29661,1.04159,0.00749,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,4081.06,0.5408,0.35927,1.08109,0.01379,0.94864,0.91173,0.95066,0.85637,0.42138,0.2966,1.04373,0.00756,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
